Date,Item,Quantity,Price,Location,Category,Location Weight,Total Daily Spending
2024-03-20,咖啡,2,68,OK便利商店 北平店,飲品,0.83,252
2024-03-21,牙刷,3,167,家樂福 北屯店,生活用品,0.88,126
2024-03-21,牙刷,1,254,家樂福 北屯店,生活用品,0.88,688
2024-03-21,洗髮精,3,-12,家樂福 北屯店,生活用品,0.88,273
2024-03-22,洗髮精,2,306,全聯 西屯福科,生活用品,0.9,280
2024-03-22,麵包,2,-80,全聯 西屯福科,食品,0.9,267
2024-03-22,泡麵,1,90,全聯 西屯福科,食品,0.9,765
2024-03-23,洗髮精,0,160,全家 台中中港,生活用品,0.87,702
2024-03-23,咖啡,3,131,全家 台中中港,飲品,0.87,836
2024-03-23,洗髮精,3,46,全家 台中中港,生活用品,0.87,299
2024-03-23,洗髮精,2,85,全家 台中中港,生活用品,0.87,402
2024-03-24,飲料,2,49,全聯 西屯福科,飲品,0.9,669
2024-03-24,咖啡,1,185,全聯 西屯福科,飲品,0.9,71
2024-03-24,飲料,2,138,全聯 西屯福科,飲品,0.9,384
2024-03-24,泡麵,3,39,全聯 西屯福科,食品,0.9,87
2024-03-24,麵包,1,189,全聯 西屯福科,食品,0.9,202
2024-03-25,洗髮精,2,134,家樂福 北屯店,生活用品,0.88,145
2024-03-25,咖啡,1,181,家樂福 北屯店,飲品,0.88,197
2024-03-25,麵包,2,164,家樂福 北屯店,食品,0.88,213
2024-03-26,飲料,2,26,家樂福 北屯店,飲品,0.88,211
2024-03-26,飲料,1,52,家樂福 北屯店,飲品,0.88,523
2024-03-27,麵包,3,175,全家 台中中港,食品,0.87,85
2024-03-27,洗髮精,1,162,全家 台中中港,生活用品,0.87,385
2024-03-28,洗髮精,1,103,7-11 台中河南門市,生活用品,0.85,610
2024-03-28,牙刷,2,116,7-11 台中河南門市,生活用品,0.85,219
2024-03-29,泡麵,3,225,家樂福 北屯店,食品,0.88,172
2024-03-29,洗髮精,1,49,家樂福 北屯店,生活用品,0.88,283
2024-03-29,泡麵,2,156,家樂福 北屯店,食品,0.88,602
2024-03-29,咖啡,2,86,家樂福 北屯店,飲品,0.88,379
2024-03-29,牙刷,3,84,家樂福 北屯店,生活用品,0.88,215
2024-03-30,洗髮精,2,208,全聯 西屯福科,生活用品,0.9,444
2024-03-30,咖啡,2,182,全聯 西屯福科,飲品,0.9,86
2024-03-30,麵包,1,181,全聯 西屯福科,食品,0.9,489
2024-03-30,洗髮精,2,228,全聯 西屯福科,生活用品,0.9,427
2024-03-31,麵包,1,107,7-11 台中河南門市,食品,0.85,265
2024-03-31,麵包,0,169,7-11 台中河南門市,食品,0.85,145
2024-03-31,洗髮精,2,75,7-11 台中河南門市,生活用品,0.85,134
2024-03-31,泡麵,3,135,7-11 台中河南門市,食品,0.85,456
2024-04-01,泡麵,0,92,全聯 西屯福科,食品,0.9,613
2024-04-01,咖啡,1,114,全聯 西屯福科,飲品,0.9,191
2024-04-01,麵包,2,161,全聯 西屯福科,食品,0.9,438
2024-04-02,牙刷,2,302,7-11 台中河南門市,生活用品,0.85,203
2024-04-02,麵包,1,10,7-11 台中河南門市,食品,0.85,328
2024-04-03,牙刷,2,-10,家樂福 北屯店,生活用品,0.88,129
2024-04-03,麵包,3,214,家樂福 北屯店,食品,0.88,123
2024-04-03,牙刷,1,179,家樂福 北屯店,生活用品,0.88,184
2024-04-04,咖啡,1,163,OK便利商店 北平店,飲品,0.83,401
2024-04-04,牙刷,2,164,OK便利商店 北平店,生活用品,0.83,292
2024-04-05,咖啡,3,112,OK便利商店 北平店,飲品,0.83,198
2024-04-05,泡麵,2,41,OK便利商店 北平店,食品,0.83,438
2024-04-06,泡麵,2,91,家樂福 北屯店,食品,0.88,222
2024-04-06,洗髮精,1,27,家樂福 北屯店,生活用品,0.88,216
2024-04-06,麵包,3,74,家樂福 北屯店,食品,0.88,649
2024-04-07,咖啡,2,144,全聯 西屯福科,飲品,0.9,248
2024-04-07,飲料,2,51,全聯 西屯福科,飲品,0.9,421
2024-04-07,飲料,5,27,全聯 西屯福科,飲品,0.9,367
2024-04-07,麵包,1,128,全聯 西屯福科,食品,0.9,508
2024-04-08,牙刷,2,57,7-11 台中河南門市,生活用品,0.85,383
2024-04-08,洗髮精,3,60,7-11 台中河南門市,生活用品,0.85,450
2024-04-08,麵包,2,126,7-11 台中河南門市,食品,0.85,1223
2024-04-09,牙刷,3,-28,全聯 西屯福科,生活用品,0.9,725
2024-04-09,咖啡,1,37,全聯 西屯福科,飲品,0.9,270
2024-04-09,麵包,4,84,全聯 西屯福科,食品,0.9,400
2024-04-09,咖啡,3,134,全聯 西屯福科,飲品,0.9,324
2024-04-10,飲料,2,244,全聯 西屯福科,飲品,0.9,239
2024-04-10,泡麵,3,186,全聯 西屯福科,食品,0.9,206
2024-04-10,麵包,2,89,全聯 西屯福科,食品,0.9,409
2024-04-11,麵包,2,10,OK便利商店 北平店,食品,0.83,504
2024-04-11,洗髮精,1,103,OK便利商店 北平店,生活用品,0.83,241
2024-04-11,麵包,1,77,OK便利商店 北平店,食品,0.83,79
2024-04-12,飲料,3,135,全聯 西屯福科,飲品,0.9,233
2024-04-12,麵包,2,27,全聯 西屯福科,食品,0.9,619
2024-04-12,咖啡,2,154,全聯 西屯福科,飲品,0.9,214
2024-04-13,洗髮精,1,249,OK便利商店 北平店,生活用品,0.83,416
2024-04-13,麵包,2,94,OK便利商店 北平店,食品,0.83,170
2024-04-13,牙刷,4,142,OK便利商店 北平店,生活用品,0.83,506
2024-04-14,泡麵,1,170,全聯 西屯福科,食品,0.9,490
2024-04-14,洗髮精,2,67,全聯 西屯福科,生活用品,0.9,753
2024-04-14,牙刷,3,126,全聯 西屯福科,生活用品,0.9,295
2024-04-14,泡麵,2,106,全聯 西屯福科,食品,0.9,486
2024-04-15,飲料,2,114,全聯 西屯福科,飲品,0.9,357
2024-04-15,麵包,1,32,全聯 西屯福科,食品,0.9,628
2024-04-15,洗髮精,2,107,全聯 西屯福科,生活用品,0.9,172
2024-04-15,咖啡,2,152,全聯 西屯福科,飲品,0.9,503
2024-04-16,泡麵,3,242,全家 台中中港,食品,0.87,291
2024-04-16,泡麵,3,195,全家 台中中港,食品,0.87,320
2024-04-16,咖啡,4,308,全家 台中中港,飲品,0.87,356
2024-04-16,咖啡,2,32,全家 台中中港,飲品,0.87,392
2024-04-17,麵包,2,187,全家 台中中港,食品,0.87,308
2024-04-17,泡麵,2,122,全家 台中中港,食品,0.87,383
2024-04-17,洗髮精,2,311,全家 台中中港,生活用品,0.87,692
2024-04-17,泡麵,2,28,全家 台中中港,食品,0.87,558
2024-04-17,飲料,2,25,全家 台中中港,飲品,0.87,531
2024-04-18,咖啡,2,48,全聯 西屯福科,飲品,0.9,232
2024-04-18,牙刷,3,-96,全聯 西屯福科,生活用品,0.9,134
2024-04-18,飲料,1,55,全聯 西屯福科,飲品,0.9,551
2024-04-18,麵包,3,33,全聯 西屯福科,食品,0.9,533
2024-04-18,泡麵,3,119,全聯 西屯福科,食品,0.9,668
2024-04-19,咖啡,2,137,OK便利商店 北平店,飲品,0.83,198
2024-04-19,麵包,0,282,OK便利商店 北平店,食品,0.83,283
2024-04-20,泡麵,3,50,OK便利商店 北平店,食品,0.83,246
2024-04-20,咖啡,2,20,OK便利商店 北平店,飲品,0.83,560
2024-04-20,洗髮精,1,151,OK便利商店 北平店,生活用品,0.83,229
2024-04-21,咖啡,2,-20,家樂福 北屯店,飲品,0.88,480
2024-04-21,咖啡,3,277,家樂福 北屯店,飲品,0.88,292
2024-04-22,麵包,2,216,全聯 西屯福科,食品,0.9,408
2024-04-22,洗髮精,2,60,全聯 西屯福科,生活用品,0.9,75
2024-04-22,飲料,2,-57,全聯 西屯福科,飲品,0.9,354
2024-04-23,飲料,1,94,7-11 台中河南門市,飲品,0.85,293
2024-04-24,洗髮精,2,-46,全家 台中中港,生活用品,0.87,607
2024-04-24,飲料,3,48,全家 台中中港,飲品,0.87,511
2024-04-24,飲料,3,105,全家 台中中港,飲品,0.87,440
2024-04-24,麵包,3,109,全家 台中中港,食品,0.87,679
2024-04-25,洗髮精,2,62,全家 台中中港,生活用品,0.87,120
2024-04-25,麵包,2,163,全家 台中中港,食品,0.87,730
2024-04-25,泡麵,2,4,全家 台中中港,食品,0.87,546
2024-04-26,牙刷,1,91,全家 台中中港,生活用品,0.87,281
2024-04-26,牙刷,2,116,全家 台中中港,生活用品,0.87,592
2024-04-27,洗髮精,1,153,全家 台中中港,生活用品,0.87,85
2024-04-27,飲料,3,172,全家 台中中港,飲品,0.87,148
2024-04-27,泡麵,2,-2,全家 台中中港,食品,0.87,197
2024-04-27,泡麵,2,-40,全家 台中中港,食品,0.87,215
2024-04-27,牙刷,2,225,全家 台中中港,生活用品,0.87,96
