Date,Item,Quantity,Price,Location,Category,Location Weight,Abnormal Score,Is Abnormal,Total Daily Spending
2025-01-08,Green Tea,2,60,榮耀門市,Beverages,5.0,75.21000000000001,Yes,1985
2025-01-08,Toiletries,1,85,榮耀門市,Other,5.0,75.21000000000001,Yes,1985
2025-01-08,Sandwich,2,70,榮耀門市,Food,5.0,75.21000000000001,Yes,1985
2025-01-08,Beer,2,70,冠桃園門市,Wine,3.38,75.21000000000001,Yes,1985
2025-01-08,Bento,1,850,北投門市,Food,4.0,75.21000000000001,Yes,1985
2025-01-09,Hot Dog,3,120,中高站門市,Food,0.0,13.82000000000001,No,380
2025-01-09,Whiskey,2,170,豐學門市,Wine,6.25,13.82000000000001,No,380
2025-01-09,Stationery,3,90,中高站門市,Other,0.0,13.82000000000001,No,380
2025-01-10,Juice,2,80,冠桃園門市,Beverages,3.38,40.76000000000001,No,580
2025-01-10,Sake,1,30,北投門市,Wine,4.0,40.76000000000001,No,580
2025-01-10,Black Tea,3,105,豐學門市,Beverages,6.25,40.76000000000001,No,580
2025-01-10,Milk Tea,3,135,冠桃園門市,Beverages,3.38,40.76000000000001,No,580
2025-01-10,Toiletries,2,170,豐學門市,Other,6.25,40.76000000000001,No,580
2025-01-10,Stationery,2,60,北投門市,Other,4.0,40.76000000000001,No,580
2025-01-11,Juice,2,560,豐學門市,Beverages,6.25,48.82000000000001,No,760
2025-01-11,Stationery,2,60,豐學門市,Other,6.25,48.82000000000001,No,760
2025-01-11,Parcel Pickup,1,35,北投門市,Other,4.0,48.82000000000001,No,760
2025-01-11,Black Tea,3,105,冠桃園門市,Beverages,3.38,48.82000000000001,No,760
2025-01-12,Juice,3,120,北投門市,Beverages,4.0,27.95000000000001,No,265
2025-01-12,Bento,1,85,榮耀門市,Food,5.0,27.95000000000001,No,265
2025-01-12,Sake,2,60,冠桃園門市,Wine,3.38,27.95000000000001,No,265
2025-01-13,Juice,1,40,中高站門市,Beverages,0.0,10.37,No,230
2025-01-13,Beer,3,105,北投門市,Wine,4.0,10.37,No,230
2025-01-13,Toiletries,1,85,北投門市,Other,4.0,10.37,No,230
2025-01-14,Milk Tea,3,135,榮耀門市,Beverages,5.0,81.42000000000002,Yes,1200
2025-01-14,Juice,2,80,中高站門市,Beverages,0.0,81.42000000000002,Yes,1200
2025-01-14,Black Tea,3,105,冠桃園門市,Beverages,3.38,81.42000000000002,Yes,1200
2025-01-14,Green Tea,1,30,豐學門市,Beverages,6.25,81.42000000000002,Yes,1200
2025-01-14,Toiletries,2,850,冠桃園門市,Other,3.38,81.42000000000002,Yes,1200
2025-01-15,Coffee,2,170,豐學門市,Beverages,6.25,62.19,Yes,790
2025-01-15,Black Tea,3,105,中高站門市,Beverages,0.0,62.19,Yes,790
2025-01-15,Milk Tea,3,135,中高站門市,Beverages,0.0,62.19,Yes,790
2025-01-15,Sandwich,1,35,北投門市,Food,4.0,62.19,Yes,790
2025-01-15,Toiletries,3,255,北投門市,Other,4.0,62.19,Yes,790
2025-01-15,Rice Ball,3,90,榮耀門市,Food,5.0,62.19,Yes,790
2025-01-16,Sake,3,90,榮耀門市,Wine,5.0,-1.189999999999994,No,390
2025-01-16,Coffee,1,85,榮耀門市,Beverages,5.0,-1.189999999999994,No,390
2025-01-16,Hot Dog,2,80,榮耀門市,Food,5.0,-1.189999999999994,No,390
2025-01-16,Milk Tea,3,135,榮耀門市,Beverages,5.0,-1.189999999999994,No,390
2025-01-17,Sake,2,60,豐學門市,Wine,6.25,32.82000000000001,No,330
2025-01-17,Parcel Pickup,2,70,中高站門市,Other,0.0,32.82000000000001,No,330
2025-01-17,Toiletries,2,170,中高站門市,Other,0.0,32.82000000000001,No,330
2025-01-17,Rice Ball,1,30,榮耀門市,Food,5.0,32.82000000000001,No,330
2025-01-18,Black Tea,1,35,榮耀門市,Beverages,5.0,57.57000000000001,No,600
2025-01-18,Milk Tea,2,90,北投門市,Beverages,4.0,57.57000000000001,No,600
2025-01-18,Instant Noodles,3,135,中高站門市,Food,0.0,57.57000000000001,No,600
2025-01-18,Coffee,3,255,北投門市,Beverages,4.0,57.57000000000001,No,600
2025-01-18,Bento,1,85,冠桃園門市,Food,3.38,57.57000000000001,No,600
2025-01-19,Instant Noodles,1,45,榮耀門市,Food,5.0,44.71000000000001,No,720
2025-01-19,Hot Dog,3,120,中高站門市,Food,0.0,44.71000000000001,No,720
2025-01-19,Toiletries,2,170,北投門市,Other,4.0,44.71000000000001,No,720
2025-01-19,Juice,1,40,中高站門市,Beverages,0.0,44.71000000000001,No,720
2025-01-19,Milk Tea,2,90,榮耀門市,Beverages,5.0,44.71000000000001,No,720
2025-01-19,Whiskey,3,255,中高站門市,Wine,0.0,44.71000000000001,No,720
2025-01-20,Sake,3,90,冠桃園門市,Wine,3.38,10.49,No,705
2025-01-20,Coffee,1,510,冠桃園門市,Beverages,3.38,10.49,No,705
2025-01-20,Beer,3,105,冠桃園門市,Wine,3.38,10.49,No,705
2025-01-21,Coffee,2,170,中高站門市,Beverages,0.0,33.52000000000001,No,400
2025-01-21,Instant Noodles,3,135,豐學門市,Food,6.25,33.52000000000001,No,400
2025-01-21,Rice Ball,2,60,冠桃園門市,Food,3.38,33.52000000000001,No,400
2025-01-21,Parcel Pickup,1,35,冠桃園門市,Other,3.38,33.52000000000001,No,400
2025-01-22,Bento,2,170,榮耀門市,Food,5.0,106.64,Yes,1920
2025-01-22,Green Tea,3,90,豐學門市,Beverages,6.25,106.64,Yes,1920
2025-01-22,Coffee,2,170,榮耀門市,Beverages,5.0,106.64,Yes,1920
2025-01-22,Whiskey,2,1360,中高站門市,Wine,0.0,106.64,Yes,1920
2025-01-22,Sake,2,60,冠桃園門市,Wine,3.38,106.64,Yes,1920
2025-01-22,Parcel Pickup,2,70,冠桃園門市,Other,3.38,106.64,Yes,1920
2025-01-23,Milk Tea,1,45,榮耀門市,Beverages,5.0,27.29000000000001,No,615
2025-01-23,Instant Noodles,1,450,中高站門市,Food,0.0,27.29000000000001,No,615
2025-01-23,Whiskey,1,85,榮耀門市,Wine,5.0,27.29000000000001,No,615
2025-01-23,Beer,1,35,榮耀門市,Wine,5.0,27.29000000000001,No,615
2025-01-24,Parcel Pickup,1,210,豐學門市,Other,6.25,42.11000000000001,No,595
2025-01-24,Instant Noodles,1,45,榮耀門市,Food,5.0,42.11000000000001,No,595
2025-01-24,Stationery,3,90,中高站門市,Other,0.0,42.11000000000001,No,595
2025-01-24,Milk Tea,2,90,豐學門市,Beverages,6.25,42.11000000000001,No,595
2025-01-24,Green Tea,3,90,榮耀門市,Beverages,5.0,42.11000000000001,No,595
2025-01-24,Black Tea,2,70,榮耀門市,Beverages,5.0,42.11000000000001,No,595
2025-01-25,Black Tea,1,35,冠桃園門市,Beverages,3.38,66.50000000000001,Yes,310
2025-01-25,Milk Tea,2,90,北投門市,Beverages,4.0,66.50000000000001,Yes,310
2025-01-25,Sandwich,2,70,中高站門市,Food,0.0,66.50000000000001,Yes,310
2025-01-25,Stationery,1,30,豐學門市,Other,6.25,66.50000000000001,Yes,310
2025-01-25,Coffee,1,85,榮耀門市,Beverages,5.0,66.50000000000001,Yes,310
2025-01-26,Stationery,2,60,冠桃園門市,Other,3.38,20.41000000000001,No,495
2025-01-26,Black Tea,3,105,榮耀門市,Beverages,5.0,20.41000000000001,No,495
2025-01-26,Parcel Pickup,2,70,冠桃園門市,Other,3.38,20.41000000000001,No,495
2025-01-26,Green Tea,3,90,冠桃園門市,Beverages,3.38,20.41000000000001,No,495
2025-01-26,Coffee,2,170,榮耀門市,Beverages,5.0,20.41000000000001,No,495
2025-01-27,Black Tea,2,70,榮耀門市,Beverages,5.0,78.07000000000001,Yes,700
2025-01-27,Stationery,3,90,中高站門市,Other,0.0,78.07000000000001,Yes,700
2025-01-27,Hot Dog,2,80,冠桃園門市,Food,3.38,78.07000000000001,Yes,700
2025-01-27,Instant Noodles,3,135,豐學門市,Food,6.25,78.07000000000001,Yes,700
2025-01-27,Beer,2,70,北投門市,Wine,4.0,78.07000000000001,Yes,700
2025-01-27,Toiletries,3,255,冠桃園門市,Other,3.38,78.07000000000001,Yes,700
2025-01-28,Black Tea,3,105,豐學門市,Beverages,6.25,37.29000000000001,No,505
2025-01-28,Coffee,2,170,豐學門市,Beverages,6.25,37.29000000000001,No,505
2025-01-28,Hot Dog,2,80,冠桃園門市,Food,3.38,37.29000000000001,No,505
2025-01-28,Stationery,1,30,中高站門市,Other,0.0,37.29000000000001,No,505
2025-01-28,Juice,3,120,豐學門市,Beverages,6.25,37.29000000000001,No,505
2025-01-29,Rice Ball,3,90,榮耀門市,Food,5.0,45.01000000000001,No,750
2025-01-29,Bento,1,85,中高站門市,Food,0.0,45.01000000000001,No,750
2025-01-29,Toiletries,3,255,榮耀門市,Other,5.0,45.01000000000001,No,750
2025-01-29,Juice,3,120,北投門市,Beverages,4.0,45.01000000000001,No,750
2025-01-29,Whiskey,2,170,北投門市,Wine,4.0,45.01000000000001,No,750
2025-01-29,Stationery,1,30,北投門市,Other,4.0,45.01000000000001,No,750
2025-01-30,Stationery,2,360,中高站門市,Other,0.0,41.37,No,615
2025-01-30,Sake,3,90,榮耀門市,Wine,5.0,41.37,No,615
2025-01-30,Hot Dog,2,80,榮耀門市,Food,5.0,41.37,No,615
2025-01-30,Bento,1,85,北投門市,Food,4.0,41.37,No,615
2025-01-31,Coffee,1,85,豐學門市,Beverages,6.25,35.29000000000001,No,410
2025-01-31,Beer,2,70,豐學門市,Wine,6.25,35.29000000000001,No,410
2025-01-31,Rice Ball,2,60,北投門市,Food,4.0,35.29000000000001,No,410
2025-01-31,Stationery,2,60,豐學門市,Other,6.25,35.29000000000001,No,410
2025-01-31,Milk Tea,3,135,冠桃園門市,Beverages,3.38,35.29000000000001,No,410
2025-02-01,Rice Ball,2,60,北投門市,Food,4.0,27.45000000000001,No,215
2025-02-01,Juice,3,120,榮耀門市,Beverages,5.0,27.45000000000001,No,215
2025-02-01,Beer,1,35,豐學門市,Wine,6.25,27.45000000000001,No,215
2025-02-02,Black Tea,3,105,北投門市,Beverages,4.0,60.39000000000001,Yes,610
2025-02-02,Whiskey,3,255,豐學門市,Wine,6.25,60.39000000000001,Yes,610
2025-02-02,Stationery,3,90,北投門市,Other,4.0,60.39000000000001,Yes,610
2025-02-02,Milk Tea,1,45,榮耀門市,Beverages,5.0,60.39000000000001,Yes,610
2025-02-02,Rice Ball,1,30,冠桃園門市,Food,3.38,60.39000000000001,Yes,610
2025-02-02,Coffee,1,85,榮耀門市,Beverages,5.0,60.39000000000001,Yes,610
2025-02-03,Hot Dog,1,40,中高站門市,Food,0.0,29.62,No,250
2025-02-03,Sake,1,30,中高站門市,Wine,0.0,29.62,No,250
2025-02-03,Green Tea,3,90,北投門市,Beverages,4.0,29.62,No,250
2025-02-03,Instant Noodles,2,90,榮耀門市,Food,5.0,29.62,No,250
2025-02-04,Coffee,3,1785,北投門市,Beverages,4.0,106.96,Yes,2355
2025-02-04,Rice Ball,2,60,豐學門市,Food,6.25,106.96,Yes,2355
2025-02-04,Instant Noodles,2,90,北投門市,Food,4.0,106.96,Yes,2355
2025-02-04,Toiletries,2,170,榮耀門市,Other,5.0,106.96,Yes,2355
2025-02-04,Whiskey,2,170,北投門市,Wine,4.0,106.96,Yes,2355
2025-02-04,Hot Dog,2,80,豐學門市,Food,6.25,106.96,Yes,2355
2025-02-05,Toiletries,1,85,豐學門市,Other,6.25,33.94,No,410
2025-02-05,Whiskey,1,85,北投門市,Wine,4.0,33.94,No,410
2025-02-05,Rice Ball,3,90,中高站門市,Food,0.0,33.94,No,410
2025-02-05,Sandwich,2,70,北投門市,Food,4.0,33.94,No,410
2025-02-05,Juice,2,80,豐學門市,Beverages,6.25,33.94,No,410
2025-02-06,Whiskey,1,85,北投門市,Wine,4.0,56.82000000000001,No,660
2025-02-06,Black Tea,1,210,榮耀門市,Beverages,5.0,56.82000000000001,No,660
2025-02-06,Bento,2,170,冠桃園門市,Food,3.38,56.82000000000001,No,660
2025-02-06,Parcel Pickup,3,105,榮耀門市,Other,5.0,56.82000000000001,No,660
2025-02-06,Green Tea,3,90,豐學門市,Beverages,6.25,56.82000000000001,No,660
2025-02-07,Black Tea,1,315,榮耀門市,Beverages,5.0,47.91,No,860
2025-02-07,Sake,2,60,冠桃園門市,Wine,3.38,47.91,No,860
2025-02-07,Hot Dog,3,120,榮耀門市,Food,5.0,47.91,No,860
2025-02-07,Coffee,3,255,榮耀門市,Beverages,5.0,47.91,No,860
2025-02-07,Rice Ball,1,30,冠桃園門市,Food,3.38,47.91,No,860
2025-02-07,Juice,2,80,豐學門市,Beverages,6.25,47.91,No,860
2025-02-08,Coffee,2,170,榮耀門市,Beverages,5.0,33.72000000000001,No,420
2025-02-08,Milk Tea,3,135,豐學門市,Beverages,6.25,33.72000000000001,No,420
2025-02-08,Juice,2,80,北投門市,Beverages,4.0,33.72000000000001,No,420
2025-02-08,Beer,1,35,榮耀門市,Wine,5.0,33.72000000000001,No,420
2025-02-09,Bento,1,85,中高站門市,Food,0.0,13.17000000000001,No,315
2025-02-09,Coffee,2,170,冠桃園門市,Beverages,3.38,13.17000000000001,No,315
2025-02-09,Sake,2,60,中高站門市,Wine,0.0,13.17000000000001,No,315
2025-02-10,Bento,2,170,豐學門市,Food,6.25,54.72000000000001,No,570
2025-02-10,Whiskey,2,170,榮耀門市,Wine,5.0,54.72000000000001,No,570
2025-02-10,Black Tea,3,105,冠桃園門市,Beverages,3.38,54.72000000000001,No,570
2025-02-10,Beer,1,35,榮耀門市,Wine,5.0,54.72000000000001,No,570
2025-02-10,Instant Noodles,2,90,北投門市,Food,4.0,54.72000000000001,No,570
2025-02-11,Rice Ball,1,30,榮耀門市,Food,5.0,16.32,No,375
2025-02-11,Green Tea,3,90,中高站門市,Beverages,0.0,16.32,No,375
2025-02-11,Whiskey,3,255,榮耀門市,Wine,5.0,16.32,No,375
2025-02-12,Sake,1,30,北投門市,Wine,4.0,64.3,Yes,780
2025-02-12,Juice,3,120,豐學門市,Beverages,6.25,64.3,Yes,780
2025-02-12,Toiletries,1,510,冠桃園門市,Other,3.38,64.3,Yes,780
2025-02-12,Hot Dog,3,120,中高站門市,Food,0.0,64.3,Yes,780
2025-02-13,Coffee,2,170,冠桃園門市,Beverages,3.38,33.95,No,460
2025-02-13,Bento,3,255,榮耀門市,Food,5.0,33.95,No,460
2025-02-13,Sandwich,1,35,北投門市,Food,4.0,33.95,No,460
2025-02-14,Coffee,3,255,豐學門市,Beverages,6.25,33.10000000000001,No,375
2025-02-14,Green Tea,2,60,中高站門市,Beverages,0.0,33.10000000000001,No,375
2025-02-14,Sake,2,60,榮耀門市,Wine,5.0,33.10000000000001,No,375
2025-02-15,Instant Noodles,3,135,冠桃園門市,Food,3.38,59.65000000000001,No,1095
2025-02-15,Stationery,3,900,中高站門市,Other,0.0,59.65000000000001,No,1095
2025-02-15,Green Tea,2,60,北投門市,Beverages,4.0,59.65000000000001,No,1095
2025-02-16,Parcel Pickup,2,70,榮耀門市,Other,5.0,88.22,Yes,1790
2025-02-16,Black Tea,2,70,北投門市,Beverages,4.0,88.22,Yes,1790
2025-02-16,Hot Dog,3,120,北投門市,Food,4.0,88.22,Yes,1790
2025-02-16,Whiskey,2,1530,豐學門市,Wine,6.25,88.22,Yes,1790
2025-02-17,Green Tea,2,600,中高站門市,Beverages,0.0,70.27000000000001,Yes,835
2025-02-17,Parcel Pickup,2,70,冠桃園門市,Other,3.38,70.27000000000001,Yes,835
2025-02-17,Milk Tea,1,45,中高站門市,Beverages,0.0,70.27000000000001,Yes,835
2025-02-17,Sake,3,90,榮耀門市,Wine,5.0,70.27000000000001,Yes,835
2025-02-17,Stationery,1,30,北投門市,Other,4.0,70.27000000000001,Yes,835
2025-02-18,Sake,1,30,北投門市,Wine,4.0,43.26000000000001,No,575
2025-02-18,Beer,1,35,豐學門市,Wine,6.25,43.26000000000001,No,575
2025-02-18,Juice,3,120,中高站門市,Beverages,0.0,43.26000000000001,No,575
2025-02-18,Rice Ball,1,30,豐學門市,Food,6.25,43.26000000000001,No,575
2025-02-18,Toiletries,3,255,北投門市,Other,4.0,43.26000000000001,No,575
2025-02-18,Sandwich,3,105,中高站門市,Food,0.0,43.26000000000001,No,575
2025-02-19,Parcel Pickup,3,105,榮耀門市,Other,5.0,38.24000000000001,No,600
2025-02-19,Sandwich,2,70,中高站門市,Food,0.0,38.24000000000001,No,600
2025-02-19,Hot Dog,3,120,北投門市,Food,4.0,38.24000000000001,No,600
2025-02-19,Milk Tea,3,135,榮耀門市,Beverages,5.0,38.24000000000001,No,600
2025-02-19,Whiskey,2,170,北投門市,Wine,4.0,38.24000000000001,No,600
2025-02-20,Green Tea,1,30,豐學門市,Beverages,6.25,54.54000000000001,No,430
2025-02-20,Whiskey,1,85,北投門市,Wine,4.0,54.54000000000001,No,430
2025-02-20,Stationery,2,60,北投門市,Other,4.0,54.54000000000001,No,430
2025-02-20,Hot Dog,3,120,榮耀門市,Food,5.0,54.54000000000001,No,430
2025-02-20,Sake,1,30,冠桃園門市,Wine,3.38,54.54000000000001,No,430
2025-02-20,Sandwich,3,105,冠桃園門市,Food,3.38,54.54000000000001,No,430
2025-02-21,Whiskey,3,255,北投門市,Wine,4.0,18.27,No,570
2025-02-21,Coffee,3,255,北投門市,Beverages,4.0,18.27,No,570
2025-02-21,Sake,2,60,豐學門市,Wine,6.25,18.27,No,570
2025-02-22,Whiskey,2,170,豐學門市,Wine,6.25,29.45000000000001,No,265
2025-02-22,Beer,1,35,中高站門市,Wine,0.0,29.45000000000001,No,265
2025-02-22,Rice Ball,2,60,冠桃園門市,Food,3.38,29.45000000000001,No,265
2025-02-23,Rice Ball,3,90,榮耀門市,Food,5.0,35.24000000000001,No,405
2025-02-23,Juice,2,80,榮耀門市,Beverages,5.0,35.24000000000001,No,405
2025-02-23,Instant Noodles,3,135,中高站門市,Food,0.0,35.24000000000001,No,405
2025-02-23,Beer,2,70,冠桃園門市,Wine,3.38,35.24000000000001,No,405
2025-02-23,Sake,1,30,中高站門市,Wine,0.0,35.24000000000001,No,405
2025-02-24,Milk Tea,2,90,北投門市,Beverages,4.0,23.71000000000001,No,570
2025-02-24,Beer,2,70,北投門市,Wine,4.0,23.71000000000001,No,570
2025-02-24,Toiletries,1,85,北投門市,Other,4.0,23.71000000000001,No,570
2025-02-24,Sandwich,2,70,北投門市,Food,4.0,23.71000000000001,No,570
2025-02-24,Bento,3,255,中高站門市,Food,0.0,23.71000000000001,No,570
2025-02-25,Black Tea,1,35,中高站門市,Beverages,0.0,16.07,No,350
2025-02-25,Stationery,2,60,冠桃園門市,Other,3.38,16.07,No,350
2025-02-25,Bento,3,255,冠桃園門市,Food,3.38,16.07,No,350
2025-02-26,Sandwich,1,35,豐學門市,Food,6.25,56.67000000000001,No,510
2025-02-26,Milk Tea,1,45,冠桃園門市,Beverages,3.38,56.67000000000001,No,510
2025-02-26,Rice Ball,3,90,中高站門市,Food,0.0,56.67000000000001,No,510
2025-02-26,Whiskey,3,255,榮耀門市,Wine,5.0,56.67000000000001,No,510
2025-02-26,Bento,1,85,中高站門市,Food,0.0,56.67000000000001,No,510
2025-02-27,Black Tea,2,70,豐學門市,Beverages,6.25,99.64000000000001,Yes,2150
2025-02-27,Instant Noodles,2,90,豐學門市,Food,6.25,99.64000000000001,Yes,2150
2025-02-27,Beer,1,35,豐學門市,Wine,6.25,99.64000000000001,Yes,2150
2025-02-27,Toiletries,2,1700,北投門市,Other,4.0,99.64000000000001,Yes,2150
2025-02-27,Bento,3,255,冠桃園門市,Food,3.38,99.64000000000001,Yes,2150
2025-02-28,Black Tea,1,35,榮耀門市,Beverages,5.0,52.37000000000001,No,335
2025-02-28,Green Tea,1,30,北投門市,Beverages,4.0,52.37000000000001,No,335
2025-02-28,Hot Dog,1,40,北投門市,Food,4.0,52.37000000000001,No,335
2025-02-28,Rice Ball,2,60,中高站門市,Food,0.0,52.37000000000001,No,335
2025-02-28,Whiskey,2,170,豐學門市,Wine,6.25,52.37000000000001,No,335
2025-03-01,Sake,3,90,中高站門市,Wine,0.0,37.62,No,555
2025-03-01,Hot Dog,3,120,榮耀門市,Food,5.0,37.62,No,555
2025-03-01,Toiletries,3,255,冠桃園門市,Other,3.38,37.62,No,555
2025-03-01,Milk Tea,2,90,榮耀門市,Beverages,5.0,37.62,No,555
2025-03-02,Juice,3,120,中高站門市,Beverages,0.0,70.91,Yes,1270
2025-03-02,Instant Noodles,1,45,榮耀門市,Food,5.0,70.91,Yes,1270
2025-03-02,Coffee,1,85,豐學門市,Beverages,6.25,70.91,Yes,1270
2025-03-02,Beer,3,945,中高站門市,Wine,0.0,70.91,Yes,1270
2025-03-02,Sake,1,30,榮耀門市,Wine,5.0,70.91,Yes,1270
2025-03-02,Milk Tea,1,45,中高站門市,Beverages,0.0,70.91,Yes,1270
2025-03-03,Whiskey,1,85,北投門市,Wine,4.0,40.49000000000001,No,570
2025-03-03,Coffee,3,255,豐學門市,Beverages,6.25,40.49000000000001,No,570
2025-03-03,Bento,2,170,冠桃園門市,Food,3.38,40.49000000000001,No,570
2025-03-03,Green Tea,1,30,豐學門市,Beverages,6.25,40.49000000000001,No,570
2025-03-03,Stationery,1,30,北投門市,Other,4.0,40.49000000000001,No,570
2025-03-04,Instant Noodles,2,540,中高站門市,Food,0.0,68.97000000000001,Yes,885
2025-03-04,Sake,1,30,榮耀門市,Wine,5.0,68.97000000000001,Yes,885
2025-03-04,Stationery,1,30,北投門市,Other,4.0,68.97000000000001,Yes,885
2025-03-04,Green Tea,1,30,中高站門市,Beverages,0.0,68.97000000000001,Yes,885
2025-03-04,Coffee,3,255,冠桃園門市,Beverages,3.38,68.97000000000001,Yes,885
2025-03-05,Rice Ball,3,90,榮耀門市,Food,5.0,38.19000000000001,No,580
2025-03-05,Sake,2,60,榮耀門市,Wine,5.0,38.19000000000001,No,580
2025-03-05,Coffee,1,85,豐學門市,Beverages,6.25,38.19000000000001,No,580
2025-03-05,Whiskey,2,170,豐學門市,Wine,6.25,38.19000000000001,No,580
2025-03-05,Sandwich,1,175,北投門市,Food,4.0,38.19000000000001,No,580
2025-03-06,Sandwich,1,35,冠桃園門市,Food,3.38,131.04,Yes,3340
2025-03-06,Green Tea,1,30,中高站門市,Beverages,0.0,131.04,Yes,3340
2025-03-06,Toiletries,3,255,榮耀門市,Other,5.0,131.04,Yes,3340
2025-03-06,Whiskey,3,1275,榮耀門市,Wine,5.0,131.04,Yes,3340
2025-03-06,Bento,2,1700,榮耀門市,Food,5.0,131.04,Yes,3340
2025-03-06,Milk Tea,1,45,北投門市,Beverages,4.0,131.04,Yes,3340
2025-03-07,Green Tea,2,60,冠桃園門市,Beverages,3.38,53.37000000000001,No,435
2025-03-07,Stationery,1,30,豐學門市,Other,6.25,53.37000000000001,No,435
2025-03-07,Beer,3,105,中高站門市,Wine,0.0,53.37000000000001,No,435
2025-03-07,Black Tea,2,70,北投門市,Beverages,4.0,53.37000000000001,No,435
2025-03-07,Whiskey,2,170,豐學門市,Wine,6.25,53.37000000000001,No,435
2025-03-08,Parcel Pickup,1,35,榮耀門市,Other,5.0,6.920000000000005,No,95
2025-03-08,Green Tea,1,30,北投門市,Beverages,4.0,6.920000000000005,No,95
2025-03-08,Stationery,1,30,北投門市,Other,4.0,6.920000000000005,No,95
2025-03-09,Beer,1,35,冠桃園門市,Wine,3.38,39.49000000000001,No,470
2025-03-09,Rice Ball,2,60,北投門市,Food,4.0,39.49000000000001,No,470
2025-03-09,Instant Noodles,2,90,榮耀門市,Food,5.0,39.49000000000001,No,470
2025-03-09,Bento,3,255,榮耀門市,Food,5.0,39.49000000000001,No,470
2025-03-09,Stationery,1,30,榮耀門市,Other,5.0,39.49000000000001,No,470
2025-03-10,Black Tea,3,105,豐學門市,Beverages,6.25,33.47000000000001,No,395
2025-03-10,Green Tea,3,90,北投門市,Beverages,4.0,33.47000000000001,No,395
2025-03-10,Bento,2,170,榮耀門市,Food,5.0,33.47000000000001,No,395
2025-03-10,Sake,1,30,北投門市,Wine,4.0,33.47000000000001,No,395
2025-03-11,Sandwich,2,70,豐學門市,Food,6.25,89.24000000000001,Yes,1425
2025-03-11,Whiskey,1,85,中高站門市,Wine,0.0,89.24000000000001,Yes,1425
2025-03-11,Coffee,2,170,北投門市,Beverages,4.0,89.24000000000001,Yes,1425
2025-03-11,Instant Noodles,3,945,榮耀門市,Food,5.0,89.24000000000001,Yes,1425
2025-03-11,Toiletries,1,85,中高站門市,Other,0.0,89.24000000000001,Yes,1425
2025-03-11,Black Tea,2,70,中高站門市,Beverages,0.0,89.24000000000001,Yes,1425
2025-03-12,Milk Tea,1,270,北投門市,Beverages,4.0,60.14000000000001,Yes,540
2025-03-12,Beer,1,35,豐學門市,Wine,6.25,60.14000000000001,Yes,540
2025-03-12,Sake,3,90,北投門市,Wine,4.0,60.14000000000001,Yes,540
